action_taken,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,applicant_age,name
0,555000.0,94.99,585000,91000.0,55.0,39.5,William
0,225000.0,97.0,235000,27000.0,60.0,24.0,Nicole
0,315000.0,100.0,325000,81000.0,38.0,29.5,Shirley
1,225000.0,80.0,275000,50000.0,40.0,59.5,Carol
1,305000.0,90.0,335000,87000.0,47.0,49.5,Carol
1,325000.0,97.0,345000,70000.0,48.0,24.0,Christine
1,365000.0,95.0,385000,94000.0,48.0,49.5,William
0,265000.0,80.0,335000,44000.0,55.0,39.5,Helen
1,295000.0,96.95,305000,84000.0,49.0,24.0,Christopher
1,335000.0,98.96,335000,75000.0,40.0,29.5,Elizabeth
1,265000.0,95.0,275000,63000.0,44.0,69.5,Timothy
1,345000.0,97.0,365000,107000.0,37.0,29.5,Ruth
0,145000.0,90.0,165000,75000.0,33.0,39.5,Brenda
1,175000.0,95.0,185000,53000.0,46.0,49.5,Scott
0,245000.0,92.0,265000,56000.0,55.0,39.5,Anna
1,175000.0,97.0,185000,71000.0,33.0,29.5,Brandon
0,285000.0,96.61,295000,84000.0,40.0,39.5,Stephanie
0,315000.0,97.0,325000,45000.0,60.0,29.5,Richard
1,385000.0,95.0,405000,113000.0,44.0,29.5,Katherine
1,175000.0,95.0,175000,117000.0,25.0,49.5,Amanda
0,205000.0,97.0,255000,89000.0,46.0,29.5,Ronald
0,145000.0,80.0,185000,35000.0,47.0,39.5,Donna
1,305000.0,88.0,355000,63000.0,49.0,29.5,Charles
1,435000.0,95.0,465000,209000.0,45.0,49.5,Patrick
0,645000.0,95.0,675000,0.0,20.0,49.5,Brandon
1,345000.0,95.0,355000,132000.0,37.0,29.5,Nicholas
1,115000.0,80.0,145000,70000.0,42.0,59.5,Kenneth
0,235000.0,95.0,205000,170000.0,43.0,39.5,Samuel
1,185000.0,100.0,185000,74000.0,33.0,29.5,Jason
0,85000.0,95.0,95000,51000.0,33.0,69.5,Brian
1,375000.0,95.0,395000,155000.0,33.0,39.5,Amanda
1,245000.0,95.0,255000,77000.0,40.0,29.5,Daniel
0,485000.0,101.75,475000,109000.0,60.0,49.5,Elizabeth
1,185000.0,97.0,195000,70000.0,25.0,39.5,Sharon
0,505000.0,95.0,525000,130000.0,55.0,49.5,Raymond
1,245000.0,97.0,255000,81000.0,46.0,29.5,Michael
0,485000.0,97.0,495000,170000.0,38.0,29.5,Christine
0,235000.0,95.0,255000,62000.0,55.0,39.5,Samuel
1,385000.0,95.0,405000,145000.0,41.0,39.5,Margaret
1,275000.0,91.0,305000,63000.0,48.0,39.5,Amy
1,415000.0,95.0,435000,204000.0,33.0,39.5,Thomas
1,405000.0,85.0,475000,217000.0,25.0,39.5,Pamela
1,275000.0,95.0,285000,113000.0,33.0,49.5,Stephen
0,245000.0,80.0,305000,0.0,20.0,29.5,Emily
1,395000.0,80.0,495000,176000.0,44.0,49.5,Michael
1,255000.0,97.0,255000,82000.0,36.0,29.5,Ruth
0,205000.0,100.0,205000,85000.0,46.0,49.5,Brian
1,205000.0,80.0,255000,41000.0,47.0,49.5,Rachel
0,425000.0,95.0,455000,79000.0,60.0,29.5,Angela
1,345000.0,70.184,485000,102000.0,33.0,39.5,Nicole
1,385000.0,99.5,395000,80000.0,48.0,39.5,Pamela
1,365000.0,97.0,375000,78000.0,45.0,29.5,Karen
